,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,Open Int,Vol/OI,IV,LastTrade,Avg IV,Implied Volatility,Name,Time
0,"4,210.00 ",+1.16% ,60.40 ,60.90 ,61.40 ,57.19 ,-31.84 ,-35.76% ,363 ,0 ,0.00 ,33.89% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
1,"4,215.00 ",+1.05% ,56.40 ,56.90 ,57.40 ,56.65 ,-28.48 ,-33.45% ,354 ,0 ,0.00 ,33.09% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
2,"4,220.00 ",+0.93% ,52.50 ,53.00 ,53.50 ,52.75 ,-39.57 ,-42.86% ,"1,274 ",0 ,0.00 ,32.65% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
3,"4,225.00 ",+0.81% ,48.70 ,49.25 ,49.80 ,47.74 ,-32.32 ,-40.37% ,"1,492 ",0 ,0.00 ,32.60% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
4,"4,230.00 ",+0.69% ,44.90 ,45.45 ,46.00 ,44.14 ,-25.50 ,-36.62% ,"2,558 ",0 ,0.00 ,32.02% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
5,"4,235.00 ",+0.58% ,41.20 ,41.75 ,42.30 ,38.40 ,-31.74 ,-45.25% ,"1,027 ",0 ,0.00 ,31.45% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
6,"4,240.00 ",+0.46% ,37.70 ,38.20 ,38.70 ,37.00 ,-36.60 ,-49.73% ,"3,534 ",0 ,0.00 ,30.92% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
7,"4,245.00 ",+0.34% ,34.30 ,34.80 ,35.30 ,31.50 ,-32.10 ,-50.47% ,"1,680 ",0 ,0.00 ,30.42% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
8,"4,250.00 ",+0.22% ,31.10 ,31.35 ,31.60 ,30.80 ,-29.01 ,-48.50% ,"6,277 ",0 ,0.00 ,29.72% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
9,"4,255.00 ",+0.11% ,28.20 ,28.35 ,28.50 ,28.03 ,-24.80 ,-46.94% ,"1,870 ",0 ,0.00 ,29.37% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
10,"4,260.00 ",-0.01% ,25.30 ,25.50 ,25.70 ,25.40 ,-27.67 ,-52.14% ,"4,447 ",0 ,0.00 ,28.91% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
11,"4,265.00 ",-0.13% ,22.60 ,22.80 ,23.00 ,22.56 ,-25.74 ,-53.29% ,"1,520 ",0 ,0.00 ,28.67% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
12,"4,270.00 ",-0.25% ,20.20 ,20.40 ,20.60 ,20.14 ,-25.26 ,-55.64% ,"2,388 ",0 ,0.00 ,28.48% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
13,"4,275.00 ",-0.36% ,18.00 ,18.15 ,18.30 ,18.26 ,-24.44 ,-57.24% ,"2,432 ",0 ,0.00 ,28.41% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
14,"4,280.00 ",-0.48% ,16.00 ,16.15 ,16.30 ,16.10 ,-23.24 ,-59.07% ,"2,987 ",0 ,0.00 ,28.13% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
15,"4,285.00 ",-0.60% ,14.20 ,14.35 ,14.50 ,14.30 ,-25.68 ,-64.23% ,"1,741 ",0 ,0.00 ,28.09% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
16,"4,290.00 ",-0.72% ,12.60 ,12.75 ,12.90 ,12.80 ,-21.73 ,-62.93% ,"5,068 ",0 ,0.00 ,28.25% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
17,"4,295.00 ",-0.83% ,11.10 ,11.20 ,11.30 ,11.30 ,-20.70 ,-64.69% ,"1,831 ",0 ,0.00 ,28.23% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
18,"4,300.00 ",-0.95% ,9.70 ,9.85 ,10.00 ,9.90 ,-20.81 ,-67.76% ,"10,125 ",0 ,0.00 ,28.17% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
19,"4,305.00 ",-1.07% ,8.50 ,8.60 ,8.70 ,7.30 ,-20.33 ,-73.58% ,"1,463 ",0 ,0.00 ,28.06% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
